 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
 * Restarting with watchdog (fsevents)
 * Debugger is active!
 * Debugger PIN: 117-887-434
127.0.0.1 - - [20/Mar/2025 12:04:35] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:36] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:36] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:04:37] "GET /form.html HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:37] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:37] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:41] "POST /submit HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:04:41] "GET /symptoms.html HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:41] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:41] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:43] "POST /submit-symptoms HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:04:43] "GET /display.html HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:43] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:43] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:43] "GET /get-user-data HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:04:44] "GET /doctors.html HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:04:44] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:44] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Mar/2025 12:04:44] "GET /get-user-data HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:04:44] "GET /get-user-data HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:05:04] "GET /get-doctors HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2025 12:05:32] "GET /get-doctors HTTP/1.1" 200 -
